YEAR,GEO,FUEL,SUPPLY
1995,Canada,coal (kilotonnes),Production
1996,Canada,coal (kilotonnes),Production
1997,Canada,coal (kilotonnes),Production
1998,Canada,coal (kilotonnes),Production
1999,Canada,coal (kilotonnes),Production
2000,Canada,coal (kilotonnes),Production
2001,Canada,coal (kilotonnes),Production
2002,Canada,coal (kilotonnes),Production
2003,Canada,coal (kilotonnes),Production
2004,Canada,coal (kilotonnes),Production
2005,Canada,coal (kilotonnes),Production
2006,Canada,coal (kilotonnes),Production
2007,Canada,coal (kilotonnes),Production
2008,Canada,coal (kilotonnes),Production
2009,Canada,coal (kilotonnes),Production
2010,Canada,coal (kilotonnes),Production
2011,Canada,coal (kilotonnes),Production
2012,Canada,coal (kilotonnes),Production
2013,Canada,coal (kilotonnes),Production
2014,Canada,coal (kilotonnes),Production
2015,Canada,coal (kilotonnes),Production
2016,Canada,coal (kilotonnes),Production
1995,Canada,coal (kilotonnes),Exports
1996,Canada,coal (kilotonnes),Exports
1997,Canada,coal (kilotonnes),Exports
1998,Canada,coal (kilotonnes),Exports
1999,Canada,coal (kilotonnes),Exports
2000,Canada,coal (kilotonnes),Exports
2001,Canada,coal (kilotonnes),Exports
2002,Canada,coal (kilotonnes),Exports
2003,Canada,coal (kilotonnes),Exports
2004,Canada,coal (kilotonnes),Exports
2005,Canada,coal (kilotonnes),Exports
2006,Canada,coal (kilotonnes),Exports
2007,Canada,coal (kilotonnes),Exports
2008,Canada,coal (kilotonnes),Exports
2009,Canada,coal (kilotonnes),Exports
2010,Canada,coal (kilotonnes),Exports
1995,Canada,coal (kilotonnes),Imports
1996,Canada,coal (kilotonnes),Imports
1997,Canada,coal (kilotonnes),Imports
1998,Canada,coal (kilotonnes),Imports
1999,Canada,coal (kilotonnes),Imports
2000,Canada,coal (kilotonnes),Imports
2001,Canada,coal (kilotonnes),Imports
2002,Canada,coal (kilotonnes),Imports
2003,Canada,coal (kilotonnes),Imports
